,Assets,Cases,Constituency,Education,Liabilities,Name,Party
762,0,0,KHEDA,10th Pass,"65,000",Chauhan Parsottambhai,Yuva Jan Jagriti Party
763,0,0,MAHESANA,12th Pass,0,Chauhan Prahladbhai,BSP
764,0,0,AMRELI,Literate,0,Chauhan Ravjibhai Mulabhai,BSP
765,0,0,JAMNAGAR,8th Pass,0,Chavada Ashok,IND
766,0,0,JAMNAGAR,8th Pass,0,Chavada Shamjibhai,IND
767,0,1,BEED,Post Graduate,"2,00,000",Chavan Sampat Ramsing,IND
768,0,0,GANDHINAGAR,Graduate Professional,"1,92,23,728",Chavda Chatursinh Javanji,INC
769,0,0,ANAND,Post Graduate,"1,00,000",Chavda Kaushikkumar,IND
770,0,0,KACHCHH,10th Pass,"7,50,547",Chavda Pravinbhai Chanabhai,Hindusthan Nirman Dal
771,0,0,KACHCHH,Post Graduate,"1,24,58,607",Chavda Vinod Lakhamshi,BJP
772,0,0,TUMKUR,Graduate,0,Chaya Rajashankar,Uttama Prajaakeeya Party
773,0,0,CHITTOOR,Graduate Professional,0,Cheemala. Rangappa,INC
774,0,0,CUDDALORE,Graduate,0,Chelladurai,Tamil Nadu Ilangyar Katchi
775,0,0,TIRUCHIRAPPALLI,Post Graduate,0,Chellaperumal.,IND
776,0,0,CHEVELLA,5th Pass,0,Chepuri Raju,Dalita Bahujana Party
777,0,0,BELGAUM,Graduate,0,Chetak Kumar Yallappa Kamble,IND
778,0,0,BANGALORE SOUTH,Graduate,0,Chetan Chaman,IND
779,0,2,NELLORE,12th Pass,"39,48,741",Chevuru Devakumar Reddy,INC
780,0,0,RAIPUR,12th Pass,0,Chhabi Lal Kanwar,Bhartiya Shakti Chetna Party
781,0,0,KALAHANDI,Graduate Professional,"1,04,000",Chhabilal Nial,Ambedkarite Party of India
782,0,0,JHANJHARPUR,Literate,0,Chhedi Ram,Bhartiya Mitra Party
783,0,0,KISHANGANJ,Literate,0,Chhote Lal Mahto,IND
784,0,6,BHARUCH,10th Pass,"45,95,420",Chhotubhai Vasava,Bhartiya Tribal Party
785,0,0,UTTARA KANNADA,Literate,"2,70,000",Chidanand Harijan,IND
786,0,0,NANDED,12th Pass,"5,94,000",Chikhalikar Pratap Govindrao,BJP
787,0,0,WARANGAL,10th Pass,0,Chiluveru Prathap,IND
788,0,0,BAPATLA,Post Graduate,"1,96,000",China Nageswara Rao Sadhu,Mundadugu Praja Party
789,0,1,PUNE,10th Pass,0,Chincholikar Jayant Eknath,Bahujan Republican Socialist Party
790,0,0,NIZAMABAD,10th Pass,"9,50,000",Chinnaiah Mukkera,IND
791,0,0,ELURU,10th Pass,"77,13,964",Chinnam Rama Kotayya,BJP
792,0,0,NELLORE,Literate,0,Chinni Venkateswarlu,Pyramid Party of India
793,0,0,NAMAKKAL,Graduate,"1,86,42,484",Chinraj A.K.P,DMK
794,0,0,AMALAPURAM,Graduate,"24,31,407",Chinta Anuradha,YSRCP
795,0,0,TIRUPATI,Graduate Professional,"20,07,093",Chinta Mohan,INC
796,0,0,ANAKAPALLE,Post Graduate,"11,09,28,567",Chintala Partha Sarathi,Janasena Party
797,0,0,NIZAMABAD,10th Pass,"1,00,000",Chintalapelly Gangareddy,IND
798,0,0,KARIMNAGAR,Post Graduate,0,Chintha Anil Kumar,Pyramid Party of India
799,0,0,WARANGAL,12th Pass,"6,60,000",Chintha Sambamurthy,BJP
800,0,0,NIZAMABAD,10th Pass,"1,50,000",Chinthalapally Raghupathi Reddy,IND
801,0,1,JAMUI,Graduate Professional,0,Chirag Kumar Paswan,LJP
802,0,0,ERODE,Graduate,"7,17,500",Chitra P,IND
803,0,0,CUDDALORE,Graduate,0,Chitra R,Naam Tamilar Katchi
804,0,0,BARPETA,Doctorate,0,Chitralekha Das,SUCI(C)
805,0,0,RAJKOT,Graduate Professional,"9,22,957",Chitroda Nathalal,IND
806,0,0,TRIPURA EAST,Post Graduate,0,Chitta Ranjan Debbarma,IND
807,0,0,MAVELIKKARA,10th Pass,"9,53,336",Chittayam Gopakumar,CPI
808,0,0,NAMAKKAL,Graduate,0,Cho V,IND
809,0,1,KHAGARIA,Graduate,0,Choudhary Mahbub Ali Kaisar,LJP
810,0,1,THOOTHUKKUDI,12th Pass,"50,00,000","Christantine Rajasekar, S.",Naam Tamilar Katchi
811,0,0,DARJEELING,Graduate,0,Christopher Gahatraj,Indian Democratic Republican Front
812,0,0,THIRUVANANTHAPURAM,12th Pass,"3,30,000",Christopher Shaju,IND
813,0,1,JUNAGADH,12th Pass,"14,81,768",Chudasama Rajeshbhai Naranbhai,BJP
814,0,0,MAHASAMUND,Graduate,"13,83,014",Chunni Lal Sahu,BJP
815,0,0,RAIGANJ,12th Pass,0,Churka Murmu,BSP
816,0,0,KOPPAL,12th Pass,"7,94,764",Comrade B.Basavalingappa,Marxist Leninist Party of India (Red Flag)
817,0,0,UDUPI CHIKMAGALUR,10th Pass,0,Comrade Vijaykumar,CPI(ML) Red Star
818,0,0,NAGPUR,12th Pass,0,Comrade Yogesh Krishnarao Thakare,CPI(ML) Red Star
819,0,0,SOUTH GOA,Graduate Professional,0,Cosme Francisco Caitano Sardinha,INC
820,0,0,MANDYA,Others,"10,00,000",D C Jayashankara,Aihra National Party
821,0,0,BANGALORE RURAL,10th Pass,"4,89,650",D M Madegowda,Republican Sena
822,0,0,CHITRADURGA,Graduate,0,D Pennappa Turuvanur,IND
823,0,0,TUMKUR,Graduate Professional,0,D Sharadhishayana,IND
824,0,0,MAHBUBNAGAR,Illiterate,"4,00,000",D Thimmappa	,IND
825,0,0,RAVER,10th Pass,"25,000",D. D. Wani [Photographer],IND
826,0,0,ARAKKONAM,10th Pass,0,D. Doss,BSP
827,0,2,MAHBUBNAGAR,10th Pass,"5,16,70,191",D. K. Aruna,BJP
828,0,0,GULBARGA,Graduate,"1,25,000",D. K. Konkate Keroor,Rashtriya Samaj Paksha
829,0,0,VELLORE,10th Pass,0,D. Kathir Vel,IND
830,0,0,NANDYAL,10th Pass,"1,90,000",D. Mahammad Rafi,B. C. United Front
831,0,0,NANDYAL,10th Pass,"70,000",D. P. Jamal Basha,Anna YSR Congress Party
832,0,0,CUDDALORE,Graduate,0,D. Sankar,IND
833,0,0,CUDDALORE,10th Pass,"29,50,000",D. Senthamarai Kannan,IND
834,0,0,RAJAMPET,12th Pass,"59,32,75,186",D.A. Sathya Prabha,TDP
835,0,0,TIRUVALLUR,12th Pass,"17,00,000",D.Anandaraj,IND
836,0,0,CHENNAI SOUTH,Others,"1,60,00,000",D.Hariharan,IND
837,0,5,BANGALORE RURAL,12th Pass,"51,93,20,305",D.K. Suresh,INC
838,0,0,CHENNAI SOUTH,Graduate Professional,0,D.Karthick,IND
839,0,2,VELLORE,Post Graduate,"34,77,726",D.M. Kathir Anand,DMK
840,0,0,CHIKKBALLAPUR,10th Pass,0,D.Palya Khadar Subhan Khan,Samajwadi Janata Party(Karnataka)
841,0,0,HAVERI,Graduate Professional,"25,74,740",D.R. Patil,INC
842,0,0,TIRUVALLUR,10th Pass,0,D.Ravi Pariyanar,RPI(A)
843,0,0,BANGALORE NORTH,Graduate Professional,"10,43,02,653",D.V. Sadananda Gowda,BJP
844,0,0,NIZAMABAD,Literate,"1,00,000",Dabba Raja Reddy,IND
845,0,0,PATAN,Graduate,"56,13,860",Dabhi Bharatsinhji Shankarji,BJP
846,0,0,BIJAPUR,12th Pass,"8,50,000",Dadasab Siddappa Bagayat,IND
847,0,0,VISAKHAPATNAM,Graduate,"3,49,49,036",Daggubati Purandeswari,BJP
848,0,0,JAMNAGAR,10th Pass,"36,05,798",Dalvadi Nakum Rasik Lalji,IND
849,0,0,KORAPUT,8th Pass,0,Damodara Sabar,CPI(ML)(L)
850,0,0,DAHOD,Others,"1,50,000",Damor Manabhai Bhavsing,IND
851,0,0,KURNOOL,Graduate Professional,0,Dandu Seshu Yadav,SP
852,0,0,SURENDRANAGAR,8th Pass,0,Daniya Anirudhbhai Gandabhai,IND
853,0,2,JALNA,Graduate,"24,00,000",Danve Raosaheb Dadarao,BJP
854,0,0,KARUR,Graduate Professional,0,Dasaprakash K,IND
855,0,0,GUNTUR,8th Pass,"26,45,782",Dasari Kiran Babu,IND
856,0,0,NARSAPURAM,10th Pass,"1,53,000",Dasari Krishna Murthy,India Praja Bandhu Party
857,0,0,BARAMATI,8th Pass,0,Dashrath Nana Raut,Bharatiya Praja Surajya Paksha
858,0,0,CHANDRAPUR,Graduate,"17,90,000",Dashrath Pandurang Madavi,Bahujan Republican Socialist Party
859,0,0,ALIPURDUARS,Graduate,"5,81,713",Dasrath Tirkey,AITC
860,0,0,SANGLI,5th Pass,"10,000",Dattatray Pandit Patil,IND
861,0,0,AHMEDNAGAR,5th Pass,"1,80,000",Dattatraya Appa Waghmode,IND
862,0,0,NORTH GOA,Graduate,0,Dattatraya Vittal Padgaonkar,AAP
863,0,0,MADHA,10th Pass,0,Dattatrya Bhanudas Khatke Alias Bandunana Khatke,IND
864,0,0,LATUR,12th Pass,0,Dattu Prabhakar Karanjikar,Bahujan Mukti Party
865,0,0,TEHRI GARHWAL,10th Pass,"22,00,000",Daulat Kunwar,IND
866,0,0,MADHA,Literate,"11,29,81,121",Daulat Umaji Shitole,IND
867,0,0,JANJGIR CHAMPA,Post Graduate,"19,70,757",Dauram Satnami,BSP
868,0,0,BAGHPAT,10th Pass,"5,50,000",Davender,Aapki Apni Party (Peoples)
869,0,3,MADURAI,Graduate Professional,"3,30,000",David Annadurai K,IND
870,0,0,WARANGAL,Graduate,"14,28,227",Dayakar Pasnori,TRS
871,0,0,AMRELI,8th Pass,0,Dayala Subhashbhai Parbatbhai,IND
872,0,0,BIDAR,10th Pass,"75,000",Dayanand,Ambedkarite Party of India
873,0,0,KOLHAPUR,12th Pass,"12,35,700",Dayanand Maruti Kamble,Bahujan Republican Socialist Party
874,0,0,GAYA,Post Graduate,0,Dayanand Rajwanshi,Moolniwasi Samaj Party
875,0,0,SUNDARGARH,10th Pass,"50,000",Dayananda Bhitria,Hindusthan Nirman Dal
876,0,1,CHENNAI CENTRAL,Graduate,0,Dayanidhi Maran,DMK
877,0,0,GAUTAM BUDDHA NAGAR,10th Pass,"21,400",Dayaram,Aapki Apni Party (Peoples)
878,0,0,DADRA AND NAGAR HAVELI,12th Pass,"84,060",Dayat Manoj Ranchod,IND
879,0,204,IDUKKI,Post Graduate,"1,00,00,000",Dean Kuriakose,INC
880,0,2,RAIGANJ,Post Graduate,"8,23,416",Debasree Chaudhuri,BJP
881,0,0,SUPAUL,Graduate,0,Deep Narayan Mandal,SHS
882,0,4,RAIGANJ,Post Graduate,0,Deepa Dasmunsi,INC
883,0,1,ALIGARH,Graduate,0,Deepak Chaudhary,Pragatishil Samajwadi Party (Lohia)
884,0,0,BHAGALPUR,Others,0,Deepak Kumar,SUCI(C)
885,0,1,BASTAR,Post Graduate,"18,01,236",Deepak Kumar Baij,INC
886,0,0,KORBA,Post Graduate,0,Deepak Kumar Sahu,IND
887,0,0,OSMANABAD,10th Pass,0,Deepak Mahadev Tate,Bhapase Party
888,0,0,DAKSHINA KANNADA,12th Pass,0,Deepak Rajesh Coelho,IND
889,0,0,BARAMATI,Doctorate,"26,90,000",Deepak Shantaram Watvisave,IND
890,0,0,TENKASI,Graduate,"7,84,646",Deepan. M,IND
891,0,0,SIKKIM,Graduate Professional,"4,36,959",Dek Bahadur Katwal,SDF
892,0,0,SURENDRANAGAR,10th Pass,"23,94,129",Dekavadiya Darjibhai Maganbhai,Hindusthan Nirman Dal
893,0,0,DADRA AND NAGAR HAVELI,Graduate,"3,72,68,162",Delkar Mohanbhai Sanjibhai,IND
894,0,9,RAJKOT,Illiterate,0,Dengada Pravinbhai,IND
895,0,0,GADCHIROLI CHIMUR,Graduate Professional,"5,50,000",Deorao Monba Nannaware,Ambedkarite Party of India
896,0,0,BANASKANTHA,Literate,"6,00,000",Desai Ishvarbhai,IND
897,0,0,VILUPPURAM,10th Pass,0,Desingu A,IND
898,0,2,RAMANATHAPURAM,Graduate Professional,"1,82,660",Deva Sitham. I,IND
899,0,0,ATTINGAL,10th Pass,0,Devadathan,IND
900,0,0,THIRUVANANTHAPURAM,10th Pass,0,Devadathan,IND
901,0,0,DAHOD,Graduate Professional,0,Devadha Samsubhai Khatarabhai,IND
902,0,0,MAYILADUTHURAI,8th Pass,"20,000",Devados. P,IND
903,0,0,KHAMMAM,Others,"46,86,270",Devaki Vasudeva Rao,BJP
904,0,0,NIZAMABAD,Illiterate,0,Devanna Pindi,IND
905,0,0,KRISHNAGIRI,10th Pass,0,Devappa.Y,IND
906,0,0,KANCHEEPURAM,10th Pass,0,Devarajan C,IND
907,0,1,KURNOOL,10th Pass,0,Devarapogu Maddilety,IND
908,0,1,AHMEDABAD EAST,5th Pass,0,Devda Dasharath Misarilal,IND
909,0,0,JUNAGADH,12th Pass,0,Deven Govindbhai Vanvi,BSP
910,0,1,MAHASAMUND,12th Pass,0,Devendar Singh Thakur (Rajput),IND
911,0,0,RAIPUR,Graduate,0,Devendra Kumar Patil,SUCI(C)
912,0,0,JHANJHARPUR,Graduate,0,Devendra Prasad Yadav,Samajwadi Janata Dal Democratic
913,0,0,CHITRADURGA,10th Pass,0,Devendrappa,Uttama Prajaakeeya Party
914,0,0,BHANDARA GONDIYA,Graduate,0,Devidas Santuji Lanjewar,IND
915,0,0,HINGOLI,5th Pass,0,Devji Gangaram Asole,IND
916,0,0,RAIPUR,10th Pass,"10,00,000",Devki Dubey,RPI(A)
917,0,0,HATKANANGLE,Graduate,"4,15,99,959",Dhairyashil Sambhajirao Mane,SHS
918,0,0,SURAT,10th Pass,"1,32,74,706",Dhameliya Piyushkumar Vallabhabhai,Real Democracy Party
919,0,0,VIZIANAGARAM,Post Graduate,0,Dhanalakoti Ramana,IND
920,0,0,KOLAR,12th Pass,0,Dhanamatnalli Venkateshappa,RPI(A)
921,0,4,KOLHAPUR,Graduate,"13,54,55,000",Dhananjay Mahadik,NCP
922,0,0,BELGAUM,12th Pass,"35,20,000",Dhananjay Rajaram Patil,IND
923,0,0,JANGIPUR,Post Graduate,0,Dhananjoy Banerjee,Purvanchal Janta Party (Secular)
924,0,0,COOCH BEHAR,Post Graduate,0,Dhananjoy Barman,Welfare Party Of India
925,0,0,MURSHIDABAD,Graduate,0,Dhananjoy Sarkar,Bahujan Mukti Party
926,0,0,MAHASAMUND,12th Pass,"1,06,791",Dhanendra Sahu,INC
927,0,5,CHANDRAPUR,12th Pass,"2,27,52,880",Dhanorkar Suresh Narayan,INC
928,0,1,WARDHA,Post Graduate,0,Dhanraj Kotiram Vanjari,Vanchit Bahujan Aaghadi
929,0,2,MAHASAMUND,12th Pass,"1,60,000",Dhansing Kosariya,BSP
930,0,1,TENKASI,Post Graduate,"28,96,862",Dhanush M Kumar,DMK
931,0,0,TENKASI,Graduate Professional,"1,05,140",Dhanuskodi P,IND
932,0,2,BHAVNAGAR,10th Pass,"1,77,000",Dhapa Dharamshibhai Ramjibhai,Vyavastha Parivartan Party
933,0,2,AMRELI,10th Pass,"1,77,000",Dhapa Dharamshibhai Ramjibhai,Vyavastha Parivartan Party
934,0,0,ADILABAD,Post Graduate,0,Dharavth Narendhar,Janasena Party
935,0,0,BIJAPUR,Graduate Professional,"6,75,000",Dhareppa Mahadev Ardhavar,IND
936,0,0,ERODE,5th Pass,0,Dharmalingam S,IND
937,0,1,NIZAMABAD,Post Graduate,"33,75,80,746",Dharmapuri Arvind,BJP
938,0,0,MADURAI,10th Pass,0,Dharmar P,IND
939,0,2,MALKAJGIRI,10th Pass,"6,00,000",Dharmasanam Bhanumurthy,Praja Satta Party
940,0,0,HARIDWAR,Post Graduate,0,Dharmendra,IND
941,0,0,MEERUT,Graduate Professional,0,Dharmendra,BHARTIYA JANTA DAL
942,0,0,AONLA,Post Graduate,0,Dharmendra,SHS
943,0,0,AONLA,10th Pass,"33,24,300",Dharmendra Kumar,BJP
944,0,0,JUNAGADH,Post Graduate,0,Dharmendra Vajubhai Makwana,IND
945,0,3,BADAUN,Post Graduate,"2,65,10,293",Dharmendra Yadav,SP
946,0,0,MADURAI,5th Pass,0,Dhavamani A,BSP
947,0,0,SIKKIM,Post Graduate,0,Dhiraj Kumar Rai,Sikkim Republican Party
948,0,0,AHMEDNAGAR,12th Pass,0,Dhiraj Motilal Batade,Right to Recall Party
949,0,0,KHAGARIA,8th Pass,0,Dhirendra Choudhary,Aam Adhikar Morcha
950,0,0,AURANGABAD,Graduate,0,Dhirendra Kumar Singh,IND
951,0,0,KACHCHH,10th Pass,0,Dhirubhai Babulal Shrimali,New All India Congress Party
952,0,0,DARJEELING,10th Pass,"37,618",Digbijay Mandal,IND
953,0,0,NAGPUR,Graduate,0,Dikshita Anand Tembhurne,Desh Janhit Party
954,0,0,VIJAYAWADA,Graduate Professional,"42,62,122",Dileep Kilaru,BJP
955,0,0,ALIGARH,Graduate Professional,0,Dileep Sharma,Peace Party
956,0,0,GARHWAL,Others,0,Dilendrr Pal Singh,Uttarakhand Kranti Dal (Democratic)
957,0,0,MORADABAD,12th Pass,"5,84,000",Dileram,Bhartiya Harit Party
958,0,2,SUPAUL,Graduate,0,Dileshwar Kamait,JD(U)
959,0,0,GAYA,Graduate,"1,66,454",Dilip Kumar,BSP
960,0,0,LAKHIMPUR,12th Pass,"15,91,682",Dilip Moran,Assam Dristi Party
961,0,0,MADHA,10th Pass,"3,20,000",Dilip Ramchandra Jadhav,IND
962,0,0,SATARA,Graduate Professional,"2,83,500",Dilip Shreerang Jagtap,Bahujan Republican Socialist Party
963,0,0,BELGAUM,Literate,0,Dilshaad Sikandar Tahashildar,RPI(A)
964,0,0,GAYA,12th Pass,0,Din Dayal Bharti,NCP
965,0,0,CHENNAI CENTRAL,Post Graduate,0,Dinakaran G,IND
966,0,1,MADHEPURA,Graduate Professional,"7,00,000",Dinesh Chandra Yadav,JD(U)
967,0,0,AONLA,12th Pass,0,Dinesh Kumar,Hindusthan Nirman Dal
968,0,0,MATHURA,Post Graduate,0,Dinesh Kumar Gautam,Bhartiya Anarakshit Party
969,0,0,BOLANGIR,Graduate Professional,"10,50,000",Dinesh Nag,Ambedkarite Party of India
970,0,3,SUPAUL,Graduate Professional,"50,000",Dinesh Prasad Yadav,IND
971,0,0,HATHRAS,Graduate,0,Dinesh Sai,IND
972,0,0,SURAT,10th Pass,"5,00,000",Dineshbhai Chaturbhai Jikadara,IND
973,0,0,BARDOLI,Post Graduate,0,Dineshbhai Gulabbhai Chaudhari,BSP
974,0,0,DINDIGUL,Post Graduate,0,"Dineshkumar, M.",IND
975,0,0,BULDHANA,10th Pass,0,Dinkar Tukaram Sambare,IND
976,0,0,DARJEELING,10th Pass,"30,000",Dipak Kumar Roy,Kamatapur Peoples Party (United)
977,0,0,NAGPUR,12th Pass,"16,191",Dipak Laxmanrao Maske,IND
978,0,0,SURAT,12th Pass,"38,70,000",Dipakbhai Ramnikbhai Gangani,IND
979,0,0,AURANGABAD,Post Graduate,"11,80,000",Dipali Lalaji Misal,Bahujan Mukti Party
980,0,0,AHMEDABAD WEST,12th Pass,0,Dipika Jitendrakumar Sutaria,Manvadhikar National Party
981,0,0,TRIPURA EAST,8th Pass,"1,00,000",Dipti Halam,IND
982,0,1,THIRUVANANTHAPURAM,Graduate,"13,18,000",Divakaran.C,CPI
983,0,2,GHAZIABAD,Illiterate,0,Divya Yog Maya Saraswati,Rashtriya Bharatiya Jan Jan Party
984,0,1,DHARMAPURI,Post Graduate,"60,53,502",Dnv Senthilkumar.S,DMK
985,0,0,AMRAVATI,10th Pass,0,Dnyaneshwar Kashirao Mankar,IND
986,0,2,WARDHA,Post Graduate,"1,50,000",Dnyaneshwar Laxamnrao Wakudkar,Lokjagar Party
987,0,0,TIRUPATI,Graduate Professional,"52,79,699",Doctor Daggumati Sreehari Rao,BSP
988,0,0,NIZAMABAD,5th Pass,"2,00,000",Doda Mutta Reddy,IND
989,0,0,SRIKAKULAM,Post Graduate,"38,46,000",Dola Jagan Mohana Rao,INC
990,0,0,GHAZIABAD,Post Graduate,0,Dolly Sharma,INC
991,0,0,KAKINADA,Post Graduate,"6,40,000",Donam Neelakantam,All India Praja Party
992,0,0,BIJAPUR,5th Pass,"76,000",Dondiba Ramu Rathod,IND
993,0,0,JAMNAGAR,10th Pass,"17,00,000",Donga Jayantilal Arjanbhai,IND
994,0,0,DADRA AND NAGAR HAVELI,Literate,0,Dongarkar Ishwarbhai Gopjibhai,BSP
995,0,0,MALKAJGIRI,Graduate,0,Donthula Bikshapathi,IND
996,0,0,GUNTUR,Graduate,"8,80,000",Doppalapudi Veera Das,IND
997,0,2,SECUNDERABAD,Graduate,"1,00,000",Dornala Jaya Prakash,New India Party
998,0,2,HYDERABAD,Graduate,"1,00,000",Dornala Jaya Prakash,New India Party
999,0,0,SURENDRANAGAR,5th Pass,0,Dost Mer,IND
1000,0,0,BOLANGIR,Doctorate,0,Dr Bipin Kusulia,IND
1001,0,0,BANGALORE RURAL,Graduate,"5,00,000",Dr Chinnappa Y Chikkahagade,BSP
1002,0,1,AURANGABAD,Graduate,0,Dr Dharmendra Kumar,Akhil Hind Forward Bloc (Krantikari)
1003,0,0,ANAKAPALLE,Post Graduate,"94,97,894",Dr Gandi Venkata Satyanarayana Rao,BJP
1004,0,1,CUDDALORE,Post Graduate,"10,65,600",Dr Govindasamy R,Pattali Makkal Katchi
1005,0,4,NAGARKURNOOL,Graduate Professional,"1,88,00,000",Dr Mallu Ravi,INC
1006,0,0,INNER MANIPUR,Doctorate,0,Dr Rajkumar Ranjan Singh,BJP
1007,0,0,KURNOOL,Post Graduate,"6,20,70,621",Dr Sanjeev Kumar,YSRCP
1008,0,0,CHAMARAJANAGAR,Doctorate,"1,16,00,000",Dr Shivakumara,BSP
1009,0,0,ONGOLE,Doctorate,0,Dr Sirivella Prasad,INC
1010,0,0,DAVANAGERE,Graduate Professional,0,Dr Sridhara Udupa,IND
1011,0,0,PEDDAPALLE,Graduate Professional,"50,00,000",Dr. Agama Chandrashekar,INC
1012,0,0,HARIDWAR,Graduate Professional,"27,88,77,123",Dr. Antriksh Saini,BSP
1013,0,0,GAUTAM BUDDHA NAGAR,Doctorate,"3,53,29,571",Dr. Arvind Kumar Singh,INC
1014,0,0,GAUHATI,Doctorate,0,Dr. Avijit Chakraborty,Bharatiya Gana Parishad
1015,0,1,MYSORE,Graduate Professional,"1,12,00,000",Dr. B. Chandra (Chandregowda),BSP
1016,0,3,BARAMATI,Graduate Professional,"2,83,000",Dr. Balasaheb Arjun Pol,IND
1017,0,0,BANGALORE SOUTH,Post Graduate,"9,28,000",Dr. Banuprakash A.S,Pyramid Party of India
1018,0,0,PILIBHIT,Graduate Professional,"43,80,000",Dr. Bharat,JD(U)
1019,0,1,THOOTHUKKUDI,Doctorate,"40,74,230","Dr. Bhuvaneswaran, M.",IND
1020,0,0,CHIKKBALLAPUR,Post Graduate,0,Dr. C.S.Dwarakanath,BSP
1021,0,0,FIROZABAD,Graduate Professional,0,Dr. Chandra Sen Jadon,BJP
1022,0,1,BANASKANTHA,Doctorate,"70,60,912",Dr. Chandraben,IND
1023,0,2,HINGOLI,Graduate Professional,0,Dr. Dhanve Datta Maroti,BSP
1024,0,0,DHARMAPURI,Post Graduate,0,Dr. Elango.S,IND
1025,0,0,GAUHATI,Graduate Professional,"2,00,000",Dr. Faruk Ahmed Bhuyan,IND
1026,0,1,RAJNANDGAON,Graduate,0,Dr. Gojupal,RPI(A)
1027,0,0,INNER MANIPUR,Doctorate,0,Dr. Gurumayum Tonsana Sharma,Manipur Democratic Peoples Front
1028,0,0,AHMEDABAD EAST,Graduate Professional,"21,33,343",Dr. Hiteshkumar Mahendrabhai,Nirbhay Bharteey Party
1029,0,0,UDHAMPUR,Post Graduate,0,Dr. Jitendra Singh,BJP
1030,0,0,WAYANAD,Post Graduate,0,Dr. K Padmarajan,IND
1031,0,0,CHENNAI NORTH,Post Graduate,"25,83,86,550",Dr. Kalanidhi Veeraswamy,DMK
1032,0,0,SOUTH GOA,Graduate Professional,0,Dr. Kalidas Prakash Vaingankar,IND
1033,0,0,ARAKU,Doctorate,"22,00,000",Dr. Kasi Viswanadha Veera Venkata Satyanarayana Reddy Kosuri,BJP
1034,0,0,NANDYAL,Doctorate,"90,000",Dr. Lakshmi Kantha Reddy Chitla,IND
1035,0,0,NAGALAND,Doctorate,0,Dr. M M Thromwa Konyak,IND
1036,0,0,BANGALORE RURAL,Post Graduate,0,Dr. M Venkataswamy,RPI(A)
1037,0,0,GULBARGA,Graduate Professional,0,Dr. M. P. Darakeshwaraiah,IND
1038,0,0,GAUTAM BUDDHA NAGAR,Graduate Professional,"4,38,63,749",Dr. Mahesh Sharma,BJP
1039,0,0,NAGPUR,Graduate Professional,"19,06,973",Dr. Manisha Bangar,Peoples Party of India (Democratic)
1040,0,0,BANGALORE NORTH,Graduate Professional,0,Dr. Meer Layaq Hussain,IND
1041,0,1,KISHANGANJ,Graduate Professional,"53,83,958",Dr. Mohammad Jawed,INC
1042,0,0,LAKSHADWEEP,Post Graduate,"28,87,460",Dr. Mohammed Sadique Kp,JD(U)
1043,0,0,PURNIA,Graduate Professional,"3,60,710",Dr. Mritunjay Kumar Jha,IND
1044,0,1,GARHWAL,Doctorate,0,Dr. Mukesh Semwal,SUCI(C)
1045,0,0,TURA,Graduate Professional,"34,08,159",Dr. Mukul Sangma,INC
1046,0,0,PUDUCHERRY,Post Graduate,"1,27,39,010",Dr. Narayanasamy Kesavan,All India N.R. Congress
1047,0,0,BHONGIR,Post Graduate,"4,29,63,534",Dr. Narsaiah Boora,TRS
1048,0,0,HATKANANGLE,Graduate Professional,0,Dr. Nitin Udal Bhat,IND
1049,0,0,BANGALORE CENTRAL,Others,0,Dr. Philip Mariyan,IND
1050,0,0,VADODARA,Post Graduate,"83,89,504",Dr. Rahul Vasudevbhai Vyas,IND
1051,0,1,BULDHANA,Graduate Professional,"2,19,40,000",Dr. Rajendra Bhaskarrav Shingne,NCP
1052,0,0,YAVATMAL WASHIM,Graduate,"14,00,000",Dr. Rajiv Agrawal,IND
1053,0,0,GARHWAL,Doctorate,0,Dr. Ramendra Singh Bhandari,IND
1054,0,0,KOLAR,Post Graduate,"12,00,000",Dr. Ramesh Babu. V.M.,IND
1055,0,0,MORADABAD,Post Graduate,"5,00,000",Dr. S T Hasan,SP
1056,0,0,NELLORE,Doctorate,0,Dr. S. Suresh Babu,IND
1057,0,1,BAGHPAT,Graduate,0,Dr. Saleem Ahmad,Sabse Achchhi Party
1058,0,1,BAGHPAT,Post Graduate,0,Dr. Satyapal Singh,BJP
1059,0,0,SAMBHAL,Graduate,0,Dr. Shafiqur Rehman Barq,SP
1060,0,0,OSMANABAD,Graduate Professional,"90,000",Dr. Shivaji Pandharinath Oman,BSP
1061,0,0,PILIBHIT,Doctorate,0,Dr. Sita Ram Rajput,Sabka Dal United
1062,0,0,AHMEDABAD WEST,Post Graduate,0,Dr. Solanki Kiritbhai,BJP
1063,0,0,KEONJHAR,Graduate Professional,0,Dr. Sudarshan Lohar,Rashtriya Indepndent Morcha
1064,0,0,BHANDARA GONDIYA,Doctorate,"75,000",Dr. Sunil Sampat Chawale,IND
1065,0,0,BIJAPUR,Doctorate,"1,41,84,713",Dr. Sunita Devanand Chavan,JD(S)
1066,0,0,THOOTHUKKUDI,Graduate Professional,"1,09,87,000",Dr. Tamilisai Soundararajan,BJP
1067,0,0,DIBRUGARH,Doctorate,0,Dr. Titus Bhengra,Bahujan Mukti Party
1068,0,0,GULBARGA,Post Graduate,0,Dr. Umesh G Jadhav,BJP
1069,0,0,BHANDARA GONDIYA,Graduate Professional,"36,16,000",Dr. Vijaya Rajesh Nandurkar,BSP
